Comment Head	Comment Body	Comment Rating
 The absolute GREATEST movie of all time.	"My life is forever changed due to this movie.  It is a movie of hope, ""redemption"", and friendship.  It shows a deep growing friendship between two prisoners, Andy and Red.  They each are shown growing through their distinct hardships at Shawshank prison.  As time passes, hope wanes but a flame burns bright in Andy.  His hope and unrelentless nature carry over to his friend Red.As Red's long stay in prison comes to an end he sees the light at the end of the tunnel.  Andy has left it for him to see the way to freedom, and he follows it.This film parallels my life and leaves me wondering if my advice will help somebody see the light.  For some of those people time will tell.  As for now I'll be patient to wait and see.  Don't end up like Brooks, there will always be someone to help you out.  There is someone out there that cares for you.  Thank you Andy Dufresne, your hope is the flame of my life."	10
 Simply amazing. The best film of the 90's.	"The Shawshank Redemption is without a doubt one of the most brilliant movies I have ever seen. Similar to The Green Mile in many respects (and better than it in almost all of them), these two movies have shown us that Stephen King is a master not only of horror but also of prose that shakes the soul and moves the heart. The plot is average, but King did great things with it in his novella that are only furthered by the direction, and the acting is so top-rate it's almost scary.Tim Robbins plays Andy Dufrane, wrongly imprisoned for 20 years for the murder of his wife. The story focuses on Andy's relationship with ""Red"" Redding (Morgan Freeman, in probably his best role) and his attempts to escape from Shawshank. Bob Gunton is positively evil and frightening as Warden Norton, and there are great performances and cameos all around; the most prominent one being Gil Bellows (late as Billy of Ally McBeal) as Tommy, a fellow inmate of Andy's who suffers under the iron will of Norton.If you haven't seen this movie, GO AND RENT IT NOW. You will not be disappointed. It is positively the best movie of the '90's, and one of my Top 3 of all time. This movie is a spectacle to move the mind, soul, and heart. 10/10"	10
 Oh my godmother		10
 its an excellent piece of art	i watch this movie for minimum 5-6 times first to last. so every time i enjoyed as i watching it first time. its a piece of art. and we now know how to entertain with no action or fighting scenes. its a pure drama that anyone can enjoy with family in silence. so i rate this movie 10 out of 10 because of amazing screen play, acting, casting, background scoring editing etc. this is my first movie review so pardon me if i did any mistake.	10
 Prison thriller with violence, hatred, corruption, friendship and joy.		10
 The best story ever told on film	"I believe that this film is the best story ever told on film, and I'm about to tell you why.Tim Robbins plays Andy Dufresne, a city banker, wrongfully convicted of murdering his wife and her lover. He is sent to Shawshank Prison in 1947 and receives a double life sentence for the crime. Andy forms an unlikely friendship with ""Red"" (Morgan Freeman), the man who knows how to get things. Andy faces many trials in prison, but forms an alliance with the wardens because he is able to use his banking experience to help the corrupt officials amass personal fortunes. The story unfolds....I was so impressed with how every single subplot was given a great deal of respect and attention from the director. The acting was world-class. I have never seen Tim Robbins act as well since, Morgan Freeman maybe (e.g. Seven). The twists were unexpected, an although this film had a familiar feel, it wasn't even slightly pretentious or cliched, it was original. The cinematography was grand and expressive. It gave a real impression of the sheer magnitude of this daunting prison.But the one thing which makes THE SHAWSHANK REDEMPTION stand above all other films, is the attention given to the story. The film depends on the story and the way in which it unravels. It's a powerful, poignant, thought-provoking, challenging film like no other. If Andy were to comment on this film, I think he might say: ""Get busy watching, or get busy dying."" Take his advice.Thoroughly recommended."	8
 This is a wonderful movie!!!!	"When I first see it, I am too young to understand all the things the movie what to show us. The film gave me a very different feeling. Hope is a dangerous thing, is the root of mental distress. Because since come in the day, the warden said, ""the soul to god, the body to me.""Except that he can get the cigarettes and naked woman printed CARDS and any other changes I can't seem to grow within the walls of the dark. However Andy told him, ""remember, hope is a good thing - and perhaps even good. And no good thing will never disappear."" So Andy can use 20 years digging Red think can chisel in tunnel in six hundred.When he finally climbed out of the five hundred yards of the stench of sewage pipes, standing in the pouring rain can't help, we seem to see faith Pierce heavy darkness, played a luminous in the dark of the night out of the blue.Under the light, the soul of our weak under Andy with open arms in the sky in succession, and shaking."	10
 Hope can set you free and so can this remarkable film		10
 From my favorite movies..	It is one of the best movies in the world that many people will join me. Watching very, very impressed. What it might be called the great stories of Stephen King anyway. Acting on cues can say is enormous. There's no posturing. Especially when Andy Dufrense incredible music that review still stands wandering on everyone's lips. Finale as you lose yourself in it is a movie you are getting into. Finals if he so exhilarating you a high-quality music. And finding that deserves really deserve. I watched this film very young age and it has taught me that the magic of cinema in a nice way. This film is one of the reasons I hate the Oscars. Will remain as the best film in more than 10 years, I believe wholeheartedly sites. Definitely one of the best films in the world.	10
 A movie revolution upon all others	We have all see movies, comedies, action and dramas. We all liked ones, hated others, got into some other even and felt like part of it. In Shawshank Redemption; you start slowly, after a while you get attached, by the time you reach the middle of the movie you simply totally forget about anything outside the screen and feel a mixed stream of emotions going through you head before anything else! then comes a last 20 minutes of heart storming that is surely enough to raise the adrenaline to extreme levels even in diabetics! I felt warm, strong, happy and all other emotions one can think of, I felt I was the one who won, who got out of prison, i was simply fully satisfied.This movie must be used as an Anti-depression by therapists! this movie proves that Oscars are either money bought gifts! or that who ever in charge of them are so smart that they couldn't give any Oscar to The Shawshank Redemption knowing that the movie is on different - much higher- rating scale than the Oscars.. it's simply over qualified!	10
 Busy dying or busy living?	**Yes, there are SPOILERS here**This film has had such an emotional impact on me, I find it hard to write comments on it.  I've read a lot of the previous comments; all those that gush and eulogise as well as those who think it's over-rated or cliched. Most have got good points to make, however the thing that I think everyone is struggling to both explain and come to terms with is just why this film is *so* loved.  Loved to the extent that for many it is an almost spiritual experience or for those of a more secular nature like myself, loved as one of the most devastatingly uplifting things that can happen to you while watching a film.So I'm not going to review it, I'm just going to struggle in my own way to explain this film.  It took me a few viewings to get why I connect with it so deeply, but here goes.Many people in this world are unhappy.  Most people in this world don't want to be unhappy.  Lots of people wish, pray and above all hope for that magic wand to wave and wash them of their fears, losses, angers and pains once and for all.  They see lots of other people seemingly in this magical state, while they suffer.  To borrow the words of another film, they're watching the bluebirds flying over the rainbow.Many unhappy people have learned that the magic wand doesn't exist. They're not destined to join the bluebirds and fairytales don't come true.  It's not that no one lives happily ever after, it's just that they're not going to. They're busy dying.In this film, or as some people have quite correctly said, this fairytale, magic wands exist.  And that magic wand is Andy Dufrense imitating Houdini. However this film is not about him.  Neither is it about the prison, the governor, the guard, the plot, the acting, the cinematography, the script, the direction or the score.It's about Red.  He is the one who has become institutionally unhappy, he's not only trapped in a prison, not only has he given up on the idea of ever leaving, not only does he have no hope, he knows that if the miracle would ever happen to him, he couldn't cope.  He's safe in his unhappiness and that security is what keeps him going.  Hope is, as Red say, dangerous.  The metaphor for a certain illness here is very clear to me and I know that a rather large number of people suffer from it.  A large proportion of those don't understand what's wrong, but they certainly can recognise a fellow sufferer.  Those who are mercifully untouched by this illness definitely don't understand what's going on in those who do.  They're too busy living.The miracle in this film is not only that Red is redeemed but that the world outside the prison isn't all warm and sandy and sunny and with excellent fishing.  Some of it is rocky and uncertain.  Fairytales don't get this far. They'd end as Red left the gates of the prison and the credits would say 'and he lived happily ever after'.  This is the only film I can currently think of where they show how to get to the living happily ever after bit from your redemption via the rocky and uncertain ground of bagging groceries at the local store.  In other words, they're not going to cheat you and tell you everything's going to be alright.This is crucial.  For two and half hours, those of us who are quite content to mooch around our own personal prisons can see an escape route quite different to Andy's mapped out on the screen.  And it's a real way out. It's hard and upsetting, but ultimately rewarding.  The high you get from finding out and knowing that is only comparable diamorphine.The trouble is, if you're already busy living, this film won't mean that much and you'll see it a little more clearly than those busy dying.  To those fortunate individuals, watch this film and understand what the rest of us are going through.So, yes, this film is a cliched fairytale and maybe as a story it isn't realistic and at second on the IMDb all time list, it is a bit over-rated. However if you could have a chart of films listing the number of lives saved, altered and improved, the Shawshank Redemption would be way out in front at number one.	10
 Greatest movie of all time!	This movie is one of my all time favorites. Undoubtedly, one of the most brilliant movies I have ever seen. Story, cast, screenplay all are great. The directing by Frank Darabont was just magnificent. The amazing casting of both Morgan Freeman and Tim Robbins is amazing, and couldn't be more accurate. It was narrated by Morgan Freeman, who is the best narrator in Hollywood, I believe. Actually the film depends on the story and the way in which it unravels. It will change the way u think about things around u. Surely, It will teach you one thing that it is easy to take away a man's bread, even his freedom, but impossible to take away his hope.I can say with confidence this is the best movie I have ever seen - or ever will see. If you haven't watch it yet, just GO! Watch it! Now!	10
 A Must watch Awesome Movie		10
 I make the questions here!	"It has a formula that gives you this kick; Darn what a good movie! But I need to say this, sometimes it happens.. So WHY do people love this movie and rate it high, when, or WHY isn't the ""smart"" people declare it like a a peace of art? Or do they?! Still I think it's darn good...but I bet the producer(s) didn't expect that!Like when we vote, for anything, we need to follow our heart. This is a typical movie that is worth every penny, every letter... and it's a typical 90' movie! Oh.. there we have it! Between gone with the wind and now, we NEED this! Love me as I am.. says the storyline, in my head anyway. And I do, yes I do!"	10
 Freeman gives it depth		8
 The Greatest Movie of all Time		10
 Great story, wondrously told and acted	"At the heart of this extraordinary movie is a brilliant and indelible performance by Morgan Freeman as Red, the man who knows how to get things, the ""only"" guilty man at Shawshank prison. He was nominated by the Academy for Best Actor in 1995 but didn't win. (Tom Hanks won for Forrest Gump.) What Freeman does so beautifully is to slightly underplay the part so that the eternal boredom and cynicism of the lifer comes through, and yet we can see how very much alive with the warmth of life the man is despite his confinement. Someday Morgan Freeman is going to win an Academy Award and it will be in belated recognition for this performance, which I think was a little too subtle for some Academy members to fully appreciate at the time.But Freeman is not alone. Tim Robbins plays the hero of the story, banker Andy Dufresne, who has been falsely convicted of murdering his wife and her lover. Robbins has a unique quality as an actor in that he lends ever so slightly a bemused irony to the characters he plays. It is as though part of him is amused at what he is doing. I believe this is the best performance of his career, but it might be compared with his work in The Player (1992), another excellent movie, and in Mystic River (2003) for which he won an Oscar as Best Supporting Actor.It is said that every good story needs a villain, and in the Bible-quoting, Bible-thumping, massively hypocritical, sadistic Warden Samuel Norton, played perfectly by Bob Gunton, we have a doozy. I want to tell you that Norton is so evil that fundamentalist Christians actually hate this movie because of how precisely his vile character is revealed. They also hate the movie because of its depiction of violent, predatory homosexual behavior (which is the reason the movie is rated R). On the wall of his office (hiding his safe with its ill-gotten contents and duplicitous accounts) is a framed plaque of the words ""His judgment cometh and that right soon."" The irony of these words as they apply to the men in the prison and ultimately to the warden himself is just perfect. You will take delight, I promise.Here is some other information about the movie that may interest you. As most people know, it was adapted from a novella by Stephen King entitled ""Rita Hayworth and the Shawshank Redemption."" Rita Hayworth figures in the story because Red procures a poster of her for Andy that he pins up on the wall of his cell. The poster is a still from the film Gilda (1946) starring her and Glenn Ford. We see a clip from the black and white film as the prisoners watch, cheering and hollering when Rita Hayworth appears. If you haven't seen her, check out that old movie. She really is gorgeous and a forerunner of Marilyn Monroe, who next appears on Andy's wall in a still from The Seven Year Itch (1955). It's the famous shot of her in which her skirt is blown up to reveal her shapely legs. Following her on Andy's wall (and, by the way, these pinups figure prominently in the plot) is Rachel Welsh from One Million Years B.C. (1966). In a simple and effective device these pinups show us graphically how long Andy and Red have been pining away.Frank Darabont's direction is full of similar devices that clearly and naturally tell the story. There is Brooks (James Whitmore) who gets out after fifty years but is so institutionalized that he can't cope with life on the outside and hangs himself. Playing off of this is Red's periodic appearance before the parole board where his parole is summarily REJECTED. Watch how this plays out at the end.The cinematography by Roger Deakins is excellent. The editing superb: there's not a single dead spot in the whole movie. The difference between the good guys (Red, Andy, Brooks, etc.) and the bad guys (the warden, the guards, the ""sisters,"" etc.) is perhaps too starkly drawn, and perhaps Andy is a bit too heroic and determined beyond what might be realistic, and perhaps the ""redemption"" is a bit too miraculous in how beautifully it works out. But never mind. We love it.All in all this is a great story vividly told that will leave you with a true sense of redemption in your soul. It is not a chick flick, and that is an understatement. It is a male bonding movie about friendship and the strength of character, about going up against what is wrong and unfair and coming out on top through pure true grit and a little luck.Bottom line: one of the best ever made, currently rated #2 (behind The Godfather) at the IMDb. Don't miss it.(Note: Over 500 of my movie reviews are now available in my book ""Cut to the Chaise Lounge or I Can't Believe I Swallowed the Remote!"" Get it at Amazon!)"	8
 The closest thing to poetic perfection Hollywood has ever produced		10
 An extraordinary and unforgettable film about a bank veep who is convicted of murders and sentenced to the toughest prison		9
 life changing	I first saw this film, like many others, by chance and on DVD. And like others, I have since watched it over and over again. When I feel sad, it makes me feel happy, when I need hope, it gives me hope.When I want to reaffirm my very belief in life, and all it can offer, this film gives me a new sense of purpose that no other film has ever come close to doing.It soars above anything any other movie has tried to achieve in the way it touches on the true virtues of life itself. The portrayal of friendship, the devastation of loss and the maintaining of hope. Outstanding performances from the two leads and the most beautiful of narratives are the tip of the iceberg of why this film is so great. The cinematography from the very first shots of the prison are stunning and the accompanying soundtrack add to the haunting atmosphere when we first venture inside the prison walls. Thank you Mr Darabont, Mr Robins and Mr Freeman. Thank you to every one else involved. You changed my life	10
 A Truly Uplifting Film	Shawshank Redemption is without a doubt the most uplifting and touching film I have ever seen. It is the only movie I've seen that has made tears of happiness come to my eyes. I would (and do) recommend this film to anyone and everyone.	10
 Masterpiece		
 Stands the test of time	This film will go down in history as one of the greats!!!	9
 Dragged to the theater to watch it, dragged out of the theater when it was over	Like a lot of people, didn't really seem an interesting title when it was released. WHOA. This is a movie that I know I've watched the most number of times than any other movie. Fantastic movie.	10
 Without a doubt one of the best movies of all time		10
 Enthralling, fantastic, intriguing, truly remarkable!		10
 The shortest long movie I've ever seen. Kept me wanting more and more, minute by minute.		10
 A melodramatic, motherf***ing masterpiece		10
 When There is Life, There is Hope; When There is Hope, There is Life		10
 Good , But It Is Overrated By Some	In recent years the IMDB top 250 movies has had THE GODFATHER at number 1 while THE SHAWSHANK REDEMPTION has remained at number 2 . The only exception was early in 2002 when FELLOWSHIP OF THE RING topped the chart for a couple of months then dropped down to number 2 for a couple of more months . I`ll probably make myself very unpopular for saying this but I don`t think SHAWSHANK REDEMPTION deserves to be so high !!!!!! SPOILERS !!!!!!What I don`t like about it is the amount of cliches . New prisoner arrives and finds a maggot in his food , prison cliche 37 . New prisoner gives maggot to old prisoner to feed his pet bird , prison cliche 43 . It`s revealed at the end that the prisoner who has spent so many years inside is innocent after all , prison cliche numero uno . Did anyone believe during any part of this movie that Andy Dufresne was guilty ? Neither did I . Maybe that`s why I love the American prison series OZ because all the inmates there are totally guilty . There`s other things wrong with the movie . It`s about half an hour overlong , and there`s rather unrealistic bits like the warder having someone killed after finding out Dufresne is probably innocent. Oh and how many prison friendships has there been between a black man and a white man ? Maybe that last point shouldn`t be taken as a criticism because the performances of Morgan Freeman and Tim Robbins are very good and make the movie . Neither of them give a flashy performance ( Again not a criticism ) but both are very subtle in their roles , can you imagine how different this movie would have been if we`d had Tom Cruise and Denzil Washington as the stars ? Perhaps because Freeman`s character of Red does seem to have been written as a white character he`s so good in the role . Am I alone in thinking Freeman has been the best black actor in Hollywood for the last decade because he`s more interested in exploring the character instead of playing someone who`s black ? There`s also some outstanding touches from director Frank Darabont . Witness the scene early in the film where Andy spends his first night in prison with the darkness falling upon the prisoners faces . It`s almost like the artwork of Andy Dogg as the prisoners look out onto the landing as they search for fresh prey , and there is quite a touching sequence as Red leaves prison out into the harsh outside world to the strains of Thomas Newman`s scoreI gave THE SHAWSHANK REDEMPTION eight out of ten . It is a classic feel good movie but unfortunately being a cynic I do think it`s slightly overrated by IMDB voters	8
 Relentless Storytelling		
 In my opinion the best movie ever made.	This movie is intelligent, based on an excellent book played by legendary actor as Morgan Freeman. Directed by a true artist ( Frank Darabont), I hope that this movie will be remembered for many and many years, Probably the best Picture ever made in the all history. You need to see at least one time in your life.	10
 Wonderfull	I'm watched before at long time. I like it. This is amazing.	10
 For the first time the Movie defeats the Book!		10
 One of the best movies ever made?	"Probably yes, acting was good, plot brilliant, I mean Stephen King wrote the book, but it can't match the film. When I sow this movie I thought ""thats it, this is it, best movie ever"". Sure you can find people who didn't like it, and when I ask ""why"", and try to guess what then happened? They just confused themselves, they can say reason why they don't like this movie... When I try to read comments with 1/10 star, I can't find comment with good reasons that could make me realize, that this movie is a bad movie, If there is no reason, then this means, that its the best movie ever made!The only reason people are giving 1 star is that they don't like ratio ""9,2"", they want to do more effect by pull this high ratio down, I really hate them :) Sorry for my bad English language, I live in EUrope, my English teacher is big cow with no knowledge..."	10
 Best movie of all time!	"The first time I ever saw this movie I was just floored at how incredible it was. What wonderful casting that was done to help this amazing story be told. Stephen King has a way about creating such memorable characters. For those of you who think this movie is a ""prison movie"" you are sadly mistaken. This movie merely takes place in a prison but this story is about so much more...friendship, hope, survival and dreams! There is a reason this movie is voted #1 on the IMDb site! Not only have I enjoyed watching this movie over a hundred times but I have been lucky enough to have been in that prison numerous times doing paranormal events. My last visit out there was last weekend and I decided to also go and visit all of the filming locations! That was a real treat! All I can say is that if you have not seen this film just take the time to watch it and just take in the amazing story and the incredible performances turned in by the cast! I promise you that you won't be sorry!!!"	10
 My own personal view		10
 Better Late Then Never		10
 Good movie, but best of all time? Hardly . . .		7
 This is one of the most inspiring n one of the greatest film.	The Shawshank Redemption is undoubtedly deserves to be the highest rated movie. I watched this movie for the umpteenth time. A movie I would never ever get bored of. Written & directed by Frank Darabont, this prison drama is a simple but profoundly moving tale of hope, friendship & redemption. Cinematography exquisitely captures the monotonous daily life inside prison. The bond that grows between the two main characters is unforgettable and the score is the best I have heard. Morgan Freeman makes us feel the sadness and Tim Robbins, the faith. The more times you watch it, the more you love it, and the more you learn from it. Whatever you do, don't listen to the people who say this movie is overrated because this is one of the most inspiring and greatest film. It has everything you could possibly want in a movie. If you don't love Shawshank, chances are you are beyond redemption. It is hard to find a more proper word for the film than a masterpiece. It's in my top five movies of all time. I feel so bad about not writing a review of this masterpiece during the late nineties.	10
 The greatest movie ever made..!	The greatest movie ever made..! Period. Pure and simple, it is what every director hope to achieve. The film will keep you glued to your seat if you know what it means.It will bring tears to your eyes. It will make you think how you have lived your life so far...or in fact how you have wasted it. It will teach you the value of freedom which we enjoy without giving a second thought. And it will leave you with a sense of happiness which you will experience only rarely. The performances are simply mind boggling, be it Tim Robbins or Morgan Freeman or countless others. And it is difficult to believe this was the debut of Frank Darabont as a director.If you haven't already seen it... please do, otherwise you are missing something.	10
 NOT just a prison movie	A film about a Stephen King story? Directed by Frank Darabont.  .  .  Who?  Starring Tim Robbins.  .  .  Wasn't he the guy from Howard the Duck?  I admit, only the sublime acting talents of Morgan Freeman took me along to see this movie.  Now the only questions I have to ask are:  Why didn't EVERYBODY go to see this movie?  and, Why didn't Morgan Freeman win the Oscar?  Tom Hanks is a fine actor but, he should never have beaten Morgan.  Once again a Stephen King short story translates to film better than his horror opus'.  Tim Robbins pulls out his finest performance to date, and, Mr Darabont take a bow.  Very rarely are you left with a large smile and warm heart at the end of a movie but, I could have danced as the camera slowly panned back from the beach.  .  .  Perfect.	10
 Mystery	I still can't quite get the enormous reputation of this film. I saw it again last night and instead of clearing up the mystery, the mystery got thicker. It is enjoyable film with very good performances by Tim Robbins, Morgan Freeman, James Whitmore etc, but...the most highly rated film ever? I don't get it. The voice over alone seems to belong to a so so film. I love Morgan Freeman's voice but he's telling us what we're seeing. So, the sterling reputation damages the enjoyment of the film because one is expecting something that never, really, arrives. The most interesting aspect is Tim Robbins's psychological journey. Credible or incredible doesn't quite matter, I did go with him without asking too many questions. Morgan Freeman's humanity is contagious and inspiring, whether credible or not because I bought it. So, a masterpiece? No. Good, even very good? Yes.	7
 A movie about an innocent clever man who learns to live within prison walls.	This is Tim Robbins best performance ever. It is a compelling heart warming drama about an innocent man(Andy Dufresbe) who is sent to prison and learns to use his intelligence to make the best of prison life. He meets a mentor in Red(Morgan Freeman) and they build a friendship that is stronger than the walls that surround them. Andy steadies a relationship with the warden that keeps him in the good eyes of the prison. Andy is full of surprises and uses his resourcefulness to not only win the friendships of his fellow prisoners, but also of the prison guards. Both Andy and Red both hold on to their dream of one day enjoying their freedom. They turn their friendship and dreams of freedom into a bond that no prison could ever take away.	
 What a touching movie !		10
 Hope......Don't loose it at any cost		10
 An amazing tale of hope and patience	When i rented the movie, i was doubtful, whether to rent it or not. Then i started watching it. From the very 1st moment i was kinda sure, it wud be worthy watching this; and worthy it was. The fascinating performance of Morgan Freeman and Tim Robbins, the direction, and everything puts you in the place of the actors, making you feel the way they felt. This movie doesn't have any dirty romance or impossible actions, rather, it focuses on a greater philosophy - Hope to live when there is no hope, survival -- This is one movie, that will leave you talking about it even many days after watching. I won't say anymore, the rest is up-to you to find out when you see the movie	10
 The greatest movie ever made and to be made		10
 Really good adapted screenplay but that's not enough to being the top rated movie of all time.		9
 prison escape	This film manages to redeem Hollywood in the eyes of people who feared it long lost in a dark sea of clichés and predictability. Darabont shows us that artists still work in the Hollywood studios and production facilities. These artists show their capability to produce art; real art that inspires you to look at the deeper aspects of life and the world around you. The Shawshank Redemption delivers much-needed breath of fresh air for anyone who realizes the capability of film. It proves that masters of the craft still live on this earth, and still bless us with timeless masterpieces that we will never forget.These artists show their capability to produce art; real art that inspires you to look at the deeper aspects of life and the world around you...	10
 Awesome movie - The Shawshank Redemption (1994)	"It's very rare that you find such diversity in a movie now days. I like the story and it's concept.A thumping good ode to friendship, hope, wit, wiles and wisdom, brimming with crackling characters and topped with the most twister of twists since ""The Crying Game."" The Shawshank Redemption is a powerful and uplifting, not to mention Oscar-worthy film. In 2006, it was ranked as the greatest film ever by Empire, a film magazine. The year it came out it was nominated for 7 academy awards but did not win a single one because of a movie you may all remember, Forrest Gump. It's the no-bull performances that hold back the flood of banalities. Robbins and Freeman connect with the bruised souls of Andy and Red to create something undeniably powerful and moving. Some of ""The Shawshank Redemption'' comes across as outrageously improbable. Yet the film keeps pulling you back with its sense of striving humanity slowly turning the tables against evil."	10
 An astonishing tale of endurance, courage, life, and perspective..	At the time of writing this comment, IMDb ranks the Shawshank Redemption as No. 2 in top 250 best movies of all time. Let me tell you that this is no exaggeration and no small feat given IMDb's strict rating criteria. Shawshank is indeed, up there amongst the best, and if you haven't seen it yet, you should make it a point to watch it, at least once sometime in your life. For it is an astonishing tale, of endurance, courage, life, and perspective, combined with a stunning score that flows so closely with the highs and lows of emotion that it could make grown men cry. No words can explain how good Shawshank really is, but let the sheer volume of good user reviews made by devotees in this website be proof enough of its greatness.	10
